iter	Logloss	Accuracy
244	0.1572056848	0.9515544536
245	0.1571673287	0.9515163075
246	0.157114214	0.9515163075
247	0.1570721001	0.9515544536
248	0.1570235724	0.9514781614
249	0.1569764953	0.9515163075
250	0.1569046027	0.9515163075
251	0.1568888701	0.9515163075
252	0.1568634406	0.9515163075
253	0.1568238836	0.9515544536
254	0.1567408002	0.9516688919
255	0.1566918183	0.9515925997
256	0.1566458607	0.9515544536
257	0.1566141819	0.9516688919
258	0.1565935941	0.9517451841
259	0.1565375913	0.951707038
260	0.1565189256	0.951707038
261	0.1564726269	0.951707038
262	0.1564293255	0.9516688919
263	0.1564082743	0.951707038
264	0.1563854536	0.9517833302
265	0.1563599324	0.9517451841
266	0.1563135005	0.9517451841
267	0.1562670362	0.9517833302
268	0.1562433386	0.9517833302
269	0.156196217	0.9517833302
270	0.156162834	0.9518214763
271	0.1560815312	0.9518214763
272	0.1560671235	0.9518214763
273	0.1560122748	0.9518596224
274	0.1559848121	0.9518596224
275	0.1559500995	0.9518977685
276	0.1559099695	0.9518596224
277	0.1558831991	0.9518596224
278	0.1558167012	0.9519740607
279	0.1557631182	0.9519740607
280	0.1557290772	0.9520122068
281	0.1557170328	0.9519359146
282	0.1556835078	0.9519740607
283	0.1556520503	0.9519740607
284	0.1556222019	0.9520122068
285	0.1555464572	0.9519740607
286	0.1555154747	0.9520122068
287	0.1554832652	0.9520122068
288	0.1554708802	0.9519740607
289	0.1554319772	0.9520122068
290	0.1554164944	0.9520122068
291	0.1553982271	0.9520503529
292	0.1553692198	0.9520503529
293	0.1553335714	0.9520503529
294	0.1553095165	0.9520503529
295	0.1553017712	0.952088499
296	0.155220318	0.9521266451
297	0.1551904345	0.9520503529
298	0.1551766814	0.9521647912
299	0.155147076	0.9520122068
300	0.15511485	0.952088499
301	0.1550673683	0.9520503529
302	0.1550309012	0.952088499
303	0.1549558089	0.9520503529
304	0.1549078853	0.9520122068
305	0.1548821733	0.9519740607
306	0.154859465	0.9520122068
307	0.1548412934	0.9520503529
308	0.1548027465	0.9521647912
309	0.154760738	0.9522792294
310	0.1547446673	0.9522029372
311	0.1547157395	0.9522410833
312	0.1546689179	0.9523173755
313	0.1546521673	0.9523555216
314	0.1546309664	0.9523936677
315	0.1546082696	0.9523555216
316	0.1545764674	0.9522792294
317	0.1545491953	0.9523555216
318	0.1545181593	0.9524318138
319	0.1545003028	0.9524318138
320	0.154484805	0.9524318138
321	0.1544475383	0.9524699599
322	0.1544007971	0.9524318138
323	0.1543804918	0.9523555216
324	0.1543563412	0.9524318138
325	0.154336522	0.9524699599
326	0.1543126634	0.9523936677
327	0.1542708326	0.9523936677
328	0.1542542246	0.9523936677
329	0.1542185886	0.9523936677
330	0.154177634	0.9523555216
331	0.1541290695	0.9524699599
332	0.1541029172	0.9524699599
333	0.1540585319	0.952508106
334	0.1540329761	0.9525462521
335	0.153992134	0.952508106
336	0.1539417312	0.9525462521
337	0.153928105	0.9525843982
338	0.1539080748	0.9526606904
339	0.1538765233	0.9525462521
340	0.1538273594	0.9525843982
341	0.1538077629	0.9526606904
342	0.1537497793	0.9527751287
343	0.1537040145	0.9527751287
344	0.1536941175	0.9528132748
345	0.1536752989	0.9527751287
346	0.1536502092	0.9528132748
347	0.15363013	0.9528132748
348	0.1535920428	0.9527751287
349	0.1535625236	0.9528132748
350	0.1535386424	0.9528132748
351	0.1535159115	0.9528132748
352	0.1534804928	0.9528132748
353	0.1534659053	0.9528132748
354	0.1534255221	0.9528132748
355	0.1534143504	0.9528514209
356	0.1533911609	0.9529277131
357	0.1533775628	0.9529658592
358	0.1533549809	0.9530040053
359	0.1533142744	0.9530802975
360	0.1532843869	0.9530802975
361	0.1532486568	0.9530802975
362	0.1532323186	0.9530421514
363	0.1532196225	0.9530421514
364	0.1532056899	0.9530040053
365	0.1531861909	0.9530040053
366	0.153164566	0.9530421514
367	0.1531363101	0.9530802975
368	0.1530973533	0.9531184436
369	0.1530144382	0.9531184436
370	0.153007725	0.9531184436
371	0.1530027262	0.9531184436
372	0.1529639296	0.9531184436
373	0.1529500241	0.9530421514
374	0.1529392749	0.9530802975
375	0.15292296	0.9530802975
376	0.1528873465	0.9531184436
377	0.1528407462	0.9532328819
378	0.1527963296	0.953271028
379	0.1527963285	0.953271028
380	0.152785785	0.953271028
381	0.152735216	0.9533473202
382	0.1527074564	0.953271028
383	0.152692684	0.953271028
384	0.1526617412	0.9533091741
385	0.1526308213	0.9533473202
386	0.1526071514	0.9533473202
387	0.1525705151	0.9533473202
388	0.1525323487	0.953271028
389	0.1525132509	0.953271028
390	0.1524919222	0.9533091741
391	0.1524748076	0.9532328819
392	0.1524417587	0.9533854663
393	0.1524135972	0.9533854663
394	0.1524009188	0.9533854663
395	0.1523643847	0.9533473202
396	0.1523336055	0.9533091741
397	0.1523084465	0.9533473202
398	0.1522808728	0.9533473202
399	0.1522385382	0.9533854663
400	0.1522066864	0.9533854663
401	0.1521851563	0.9534236124
402	0.1521627877	0.9534236124
403	0.1521347011	0.9533854663
404	0.1520823569	0.9534617585
405	0.15203876	0.9534236124
406	0.1520010337	0.9534999046
407	0.1519827267	0.9534236124
408	0.1519721445	0.9534236124
409	0.1519338307	0.9533854663
410	0.1519160996	0.9533854663
411	0.1518826027	0.9533473202
412	0.1518539202	0.9534236124
413	0.1518151193	0.9534617585
414	0.1518049648	0.9534236124
415	0.1517980973	0.9534236124
416	0.1517691216	0.9534236124
417	0.1517506516	0.9533854663
418	0.1517271236	0.9533854663
419	0.1516889046	0.9534999046
420	0.1516666287	0.9535380507
421	0.1516245257	0.9535380507
422	0.1515614563	0.9534999046
423	0.1515135762	0.9534999046
424	0.1514824854	0.9534617585
425	0.1514606565	0.9535380507
426	0.1514402568	0.9535380507
427	0.151418684	0.9535380507
428	0.1513975814	0.9535761968
429	0.151367537	0.9535380507
430	0.1513390789	0.9535380507
431	0.1513068662	0.9535380507
432	0.1512914693	0.9536143429
433	0.151270608	0.9536143429
434	0.1512319217	0.9536906351
435	0.1512139609	0.9536906351
436	0.1511907124	0.9536906351
437	0.1511783069	0.953652489
438	0.1511470462	0.953652489
439	0.151130334	0.953652489
440	0.1511180502	0.953652489
441	0.1511047263	0.953652489
442	0.1510946703	0.953652489
443	0.1510739379	0.9536906351
444	0.1510556565	0.9537287812
445	0.1510230838	0.953652489
446	0.1510126982	0.9537287812
447	0.1509929712	0.9536906351
448	0.1509779497	0.953652489
449	0.1509528894	0.9536906351
